id;card_number;transaction_date;value;segment
CTID28830551;1629-9566-3285-2123;24/04/2016;23649;SEG25
CTID45504917;3697-6001-4909-5350;11/02/2016;26726;SEG16
CTID47312290;5864-4475-3659-1440;01/11/2016;22012;SEG14
CTID25637718;5991-4421-8476-3804;28/01/2016;37637;SEG17
CTID66743960;1893-8853-9900-8478;17/03/2016;5113;SEG14
CTID22308010;5206-5979-9383-4538;15/05/2016;9551;SEG13
CTID41917614;5129-6974-6371-2964;11/07/2016;29511;SEG13
CTID24523483;9930-4634-8565-6716;26/07/2016;27830;SEG21
CTID59109135;4092-8604-7363-3393;16/01/2016;35328;SEG18
CTID62465865;3594-2190-6052-1265;06/11/2016;9567;SEG21
CTID17879551;5349-1963-8417-8327;25/10/2016;40606;SEG17
CTID24250639;5689-2440-9593-1931;30/04/2016;35617;SEG17
CTID14284190;1616-5911-1676-5466;31/07/2016;5014;SEG18
CTID65086055;8177-5533-1183-4063;20/11/2016;47634;SEG12
CTID83907454;2056-7091-8023-1914;03/11/2016;12061;SEG22
CTID50406334;4971-8219-1133-6753;27/12/2016;8073;SEG18
CTID99443343;8691-3939-1859-5937;01/12/2016;10138;SEG25
CTID18591064;8706-3809-5167-3899;05/06/2016;46113;SEG19
CTID64008410;2495-1344-4998-6045;02/07/2016;39195;SEG23
CTID99000301;7047-9622-9693-9968;31/10/2016;18604;SEG11
CTID62951258;5583-9751-6086-5673;31/05/2016;24874;SEG24
CTID36318745;1683-2865-3396-4925;07/07/2016;33895;SEG16
CTID27479043;7334-1842-5941-2149;16/04/2016;49582;SEG23
CTID85408878;8462-5562-6993-2745;04/03/2016;32989;SEG25
CTID96274982;8850-8297-4094-3048;06/06/2016;14443;SEG17
CTID77584673;8522-7783-9262-6673;29/08/2016;32877;SEG25
CTID57240151;3810-4783-2207-7703;26/04/2016;13737;SEG11
CTID26081247;9779-2601-5260-2896;28/12/2016;35442;SEG20
CTID40734247;6620-4005-4574-6263;16/03/2016;41496;SEG20
CTID59592896;5618-9718-9367-2102;21/02/2016;26716;SEG16
CTID69906257;6697-9358-9213-4896;27/02/2016;47236;SEG19
CTID68686851;5580-3409-5276-9882;25/08/2016;11647;SEG12
CTID67647108;3158-1638-7701-9309;18/08/2016;28833;SEG25
CTID68039321;2893-7786-7528-2338;20/11/2016;19915;SEG24
CTID48539550;4806-6889-9908-7496;26/05/2016;11720;SEG15
CTID11264842;5734-5619-8469-4044;04/02/2016;891;SEG12
CTID12917735;3762-3694-9841-5446;25/11/2016;39966;SEG14
CTID15652294;5960-5753-3689-8262;26/06/2016;28174;SEG23
CTID40680938;6620-4005-4574-6263;05/03/2016;44365;SEG21
CTID92582137;1661-3809-5334-2155;08/04/2016;15585;SEG22
CTID39949884;8217-2336-2393-6960;18/03/2016;27937;SEG13
CTID42197708;1519-5130-5810-8539;15/12/2016;12880;SEG24
CTID66316500;5160-8427-6529-3274;27/09/2016;47831;SEG12
CTID59601937;1893-8853-9900-8478;17/09/2016;44809;SEG16
CTID33559101;7416-4529-6690-5703;15/01/2016;43234;SEG23
CTID26089338;2854-6117-5924-2770;25/04/2016;24782;SEG18
CTID60670788;2056-7091-8023-1914;12/04/2016;18902;SEG22
CTID71631263;9546-5205-4705-9447;10/02/2016;23271;SEG14
CTID30659049;3652-5528-4808-8216;17/07/2016;7110;SEG21
CTID27268602;9721-7299-5635-3504;02/01/2016;31183;SEG25
CTID85611164;8078-7413-3861-2246;29/02/2016;8926;SEG14
CTID35299934;3708-8801-1521-8042;26/10/2016;36465;SEG11
CTID89828724;1187-8674-2708-3972;12/03/2016;44019;SEG12
CTID59693644;3620-5235-2101-3391;23/07/2016;37689;SEG15
CTID53240632;3810-4783-2207-7703;28/12/2016;29856;SEG13
CTID48745881;9779-2601-5260-2896;05/12/2016;9237;SEG21
CTID81603273;9162-3465-6654-4891;03/04/2016;36616;SEG22
CTID16296029;3970-3872-2591-7629;24/04/2016;43502;SEG20
CTID41952336;9314-8332-5195-8287;08/10/2016;43336;SEG20
CTID98602025;1559-8764-1659-4317;15/06/2016;7762;SEG20
CTID78073273;9369-6196-2597-1730;29/08/2016;35035;SEG16
CTID21675850;1336-9200-1264-2551;21/09/2016;4471;SEG18
CTID21680526;4933-8895-6001-8577;04/02/2016;40038;SEG11
CTID75668104;4818-7275-3513-3939;23/08/2016;4842;SEG19
CTID82515633;9946-6939-3033-9593;10/03/2016;1028;SEG15
CTID18094390;3620-5235-2101-3391;26/01/2016;46722;SEG13
CTID70371572;6197-7150-9163-8287;15/11/2016;37334;SEG23
CTID75962780;2949-1972-1300-6680;16/02/2016;22750;SEG15
CTID47470245;5380-2273-3524-9795;17/11/2016;11786;SEG22
CTID43291858;4139-7870-9436-2923;05/04/2016;31455;SEG15
CTID89983002;5144-5591-4640-2208;25/05/2016;955;SEG14
CTID69829785;2347-2804-9899-1830;29/05/2016;48141;SEG24
CTID43911678;4349-5976-1214-5524;13/01/2016;10556;SEG20
CTID19010491;7558-5459-8235-5737;24/10/2016;11022;SEG21
CTID42442159;3922-3698-6304-1975;24/02/2016;30250;SEG24
CTID16605900;5129-6974-6371-2964;13/11/2016;11833;SEG15
CTID55338924;9933-8699-5268-4345;13/03/2016;17815;SEG12
CTID24250630;7665-2468-6158-3511;07/04/2016;48992;SEG23
CTID63583221;9083-6711-4313-1181;04/01/2016;30243;SEG17
CTID40698127;2056-7091-8023-1914;02/05/2016;46845;SEG22
CTID16086102;3594-2190-6052-1265;02/07/2016;298;SEG17
CTID53983054;4991-3814-8016-9048;29/06/2016;44683;SEG13
CTID18392337;5982-5047-2653-9052;11/07/2016;15951;SEG12
CTID83549292;6042-2856-7280-2925;03/04/2016;13436;SEG21
CTID82606233;6012-7799-2842-7221;20/08/2016;18360;SEG19
CTID92385937;3007-2083-4197-9770;01/05/2016;13662;SEG12
CTID59944572;7662-3108-4951-8587;29/09/2016;43846;SEG18
CTID45512620;4991-3814-8016-9048;20/12/2016;6971;SEG25
CTID43929645;4784-5120-3581-6184;01/02/2016;18590;SEG22
CTID61467181;4525-4818-6014-8945;06/07/2016;32949;SEG21
CTID15616641;6171-3568-7740-8072;14/03/2016;14959;SEG11
CTID25236783;4420-9925-9792-9113;04/01/2016;32713;SEG17
CTID79049488;8272-7202-4112-6502;22/06/2016;1364;SEG23
CTID69741696;5206-5979-9383-4538;22/02/2016;5245;SEG13
